IP 地址,已发送,已接收,丢包率,平均延迟,下载速度（MB/s）
104.16.159.245,,,,166 毫秒,10752 kB/s
104.17.172.166,,,,187 毫秒,10752 kB/s
104.17.246.193,,,,174 毫秒,10752 kB/s
104.16.111.175,,,,183 毫秒,10752 kB/s
104.17.68.132,,,,178 毫秒,10752 kB/s
104.19.217.217,,,,191 毫秒,10752 kB/s
104.19.14.177,,,,195 毫秒,10752 kB/s
104.17.25.236,,,,191 毫秒,10752 kB/s
104.16.237.220,,,,164 毫秒,10752 kB/s
104.25.188.156,,,,205 毫秒,10752 kB/s
104.24.66.168,,,,200 毫秒,10752 kB/s
104.17.229.189,,,,163 毫秒,10752 kB/s
104.19.39.128,,,,198 毫秒,10752 kB/s
104.25.166.219,,,,204 毫秒,10752 kB/s
104.16.122.39,,,,180 毫秒,10752 kB/s
108.162.192.218,,,,189 毫秒,10752 kB/s
104.25.30.21,,,,205 毫秒,10752 kB/s
104.21.112.177,,,,189 毫秒,10752 kB/s
104.25.65.103,,,,203 毫秒,10752 kB/s
104.24.163.253,,,,207 毫秒,10752 kB/s
162.159.240.242,,,,197 毫秒,10752 kB/s
162.159.60.219,,,,161 毫秒,10752 kB/s
172.67.151.241,,,,203 毫秒,10752 kB/s
104.17.160.249,,,,174 毫秒,10752 kB/s
104.17.232.101,,,,174 毫秒,10752 kB/s
104.24.248.137,,,,205 毫秒,10752 kB/s
104.24.153.22,,,,195 毫秒,10752 kB/s
172.64.33.240,,,,202 毫秒,10752 kB/s
104.18.210.105,,,,172 毫秒,10752 kB/s
104.17.193.164,,,,174 毫秒,10752 kB/s
162.159.41.74,,,,192 毫秒,10752 kB/s
104.19.194.222,,,,200 毫秒,10752 kB/s
104.16.154.28,,,,167 毫秒,10752 kB/s
104.23.126.169,,,,191 毫秒,10752 kB/s
104.18.109.143,,,,161 毫秒,10752 kB/s
104.27.104.30,,,,192 毫秒,10752 kB/s
104.21.13.251,,,,201 毫秒,10752 kB/s
104.17.230.21,,,,183 毫秒,10752 kB/s
104.17.88.228,,,,189 毫秒,10752 kB/s
104.25.175.216,,,,205 毫秒,10752 kB/s
104.16.62.235,,,,179 毫秒,10752 kB/s
104.24.135.242,,,,192 毫秒,10752 kB/s
104.25.103.150,,,,190 毫秒,10752 kB/s
104.25.16.112,,,,205 毫秒,10752 kB/s
